Código del bien o servicio;Descripción del bien o servicio;Impuesto
3454002000100;Brea;13%
3454002000200;Coque de brea;13%
3455001000000;Aceite de soya expoxidado, utilizado exclusivamente para la elaboración de compuestos poliméricos;13%
3455002000100;Aceite de castor polimerizado, para uso agrícola;13%
3455002000200;Aceite de soya oxidado, para uso agrícola;13%
3455002000300;Grasas o aceites destinados al consumo animal;13%
3455002009900;"Grasas y aceites animales o vegetales y sus divisiones, modificados químicamente, excepto los hidrogenados, inter-esterificados, re-esterificados o elaidinizados; mezclas o preparados no comestibles de grasas o aceites animales o vegetales, n.c.p.";13%
3456000000100;Cuarzo piezoeléctrico;13%
3456000009900;Piedras preciosas o semipreciosas, sintéticas o reconstruidas, en bruto, n.c.p.;13%
3457000000100;Glicerina en bruto, aguas y lejías glicerinosas;13%
3457000009900;Glicerina, n.c.p.;13%
3461100000100;Fertilizante de urea, para uso agrícola;13%
3461100009900;Fertilizante de urea, n.c.p.;13%
3461200000100;Fertilizante de sulfato de amonio, para uso agrícola;13%
3461200009900;Fertilizante de sulfato de amonio, n.c.p.;13%
3461300000100;Fertilizante de nitrato de amonio, para uso agrícola;13%
3461300009900;Fertilizante de nitrato de amonio, n.c.p.;13%
3461400000000;Sales dobles y mezclas de nitrato de calcio y nitrato de amonio;13%
3461500000000;Mezclas de nitrato de amonio con carbonato de calcio u otras sustancias inorgánicas no fertilizantes;13%
3461600000000;Mezclas de urea y nitrato de amonio en solución acuosa o amoniacal;13%
3461901000000;Cianamida cálcica;13%
3461902000000;Sales dobles y mezclas de sulfato de amonio y nitrato de amonio;13%
3461999000000;Fertilizantes nitrogenados y mezclas, n.c.p.;13%
3462100000100;Fertilizante superfosfato con un contenido de P2O5 superior o igual al 35%;13%
3462100009900;Fertilizante superfosfato, n.c.p.;13%
3462900000100;Escorias de desfosforación;13%
3462900009900;Fertilizantes fosfatados, n.c.p.;13%
3463100000100;Fertilizante de cloruro de potasio para uso agrícola;13%
3463100009900;Fertilizante de cloruro de potasio, n.c.p.;13%
3463200000100;Fertilizante de sulfato de potasio, para uso agrícola;13%
3463200009900;Fertilizante de sulfato de potasio, n.c.p.;13%
3463900000100;Carnalita, silvinita y demás sales de potasio naturales, en bruto;13%
3463900009900;Fertilizante potásico, n.c.p.;13%
3464100000000;Fertilizantes minerales o químicos que contienen tres nutrientes: nitrógeno, fósforo y potasio;13%
3464200000000;Hidrogenoortofosfato de diamonio (fosfato diamonio);13%
3464300000100;Dihidrogenoortofosfato de amonio (fosfato monoamónico) puro;13%
3464300000200;Dihidrogenoortofosfato de amonio (fosfato monoamónico), mezclado con el hidrogenoortofosfato de diamonio (fosfato diamónico);13%
3464400000100;Fertilizantes minerales o químicos que contiene nitratos y fosfatos;13%
3464400000200;Fertilizantes minerales o químicos que contienen dos nutrientes: nitrógeno y fósforo, n.c.p.;13%
3464500000000;Fertilizantes minerales o químicos que contienen dos nutrientes: fósforo y potasio;13%
3464600000100;Nitrato de potasio, para uso agrícola;13%
3464600009900;Nitrato de potasio, n.c.p.;13%
3464900000100;Fertilizantes minerales o químicos que contienen al menos dos nutrientes (nitrógeno, fosfato, potasio), para uso agrícola, n.c.p.;13%
3464900009900;Fertilizantes minerales o químicos que contienen al menos dos nutrientes (nitrógeno, fosfato, potasio), n.c.p.;13%
3465100000100;Amoniaco anhidro para uso agrícola;13%
3465100009900;Amoniaco anhidro, n.c.p.;13%
3465200000000;Amoniaco, en solución acuosa;13%
3465301000100;Cloruro de amonio, para uso agrícola;13%
3465301009900;Cloruro de amonio, n.c.p.;13%
3465302000000;Nitritos;13%
3465401010100;Pollinaza y gallinaza utilizado para la preparación de abono y combustible, sin mezclar o tratar químicamente, de uso agrícola;13%
3465401010200;Cerdaza utilizado para la preparación de abono y combustible, sin mezclar o tratar químicamente, de uso agrícola;13%
3465401019900;Excremento de animales utilizado para la preparación de abono y combustible, sin mezclar o tratar químicamente, de uso agrícola, n.c.p.;13%
3465401020000;Excremento de animales utilizado para la preparación de abono y combustible, sin mezclar o tratar químicamente, para elaborar medicamentos de uso veterinario;13%
3465401990000;Excremento de animales utilizado para la preparación de abono y combustible, sin mezclar o tratar químicamente, n.c.p.;13%
3465402010100;Pollinaza y gallinaza utilizado para la preparación de abono y combustible, tratados químicamente, de uso agrícola;13%
3465402010200;Cerdaza utilizado para la preparación de abono y combustible, tratados químicamente, de uso agrícola;13%
3465402019900;Excremento de animales utilizado para la preparación de abono y combustible, tratados químicamente, de uso agrícola, n.c.p.;13%
3465402020000;Excremento de animales utilizado para la preparación de abono y combustible, tratados químicamente, para elaborar medicamentos de uso veterinario;13%
3465402990000;Excremento de animales utilizado para la preparación de abono y combustible, tratados químicamente, n.c.p.;13%
3465901000000;Fertilizante tratado químicamente, n.c.p.;13%
3465999000000;Fertilizante, n.c.p.;13%
3466100010100;Espiral para mosquitos como insecticida;13%
3466100010200;Repelente contra mosquitos que actúa por combustión, n.c.p.;13%
3466100010300;Papel matamoscas;13%
3466100019900;Insecticida en pastilla o vela, que actúa por combustión, n.c.p.;13%
3466100020100;Insecticida que contiene edrin, para uso agrícola;13%
3466100029900;Insecticida que contiene edrin, n.c.p.;13%
3466100030100;Insecticida que contiene metilbromuro, para uso agrícola;13%
3466100039900;Insecticida que contiene metilbromuro, n.c.p.;13%
3466100040100;Mirex o declordano, para uso agrícola;13%
3466100049900;Mirex o declordano, n.c.p.;13%
3466100990100;Bolsa plástica con insecticida, para la protección y empaque del banano;13%
3466100990200;Repelente contra mosquitos de uso ambiental;13%
3466100990300;Insecticida utilizado como preservante para madera;13%
3466100990400;Collar para animales con insecticida;13%
3466100990500;Insecticida, para uso agrícola, n.c.p.;13%
3466100999900;Insecticida, n.c.p.;13%
3466200010100;Fungicida a base de arseniato de cobre cromado con contenido superior o igual a 125 kg, para uso agrícola;13%
3466200019900;Fungicida a base de arseniato de cobre cromado con contenido superior o igual a 125 kg, n.c.p.;13%
3466200020100;Fungicida que contiene arseniato de plomo, para uso agrícola;13%
3466200029900;Fungicida que contiene arseniato de plomo, n.c.p.;13%
3466200990100;Fungicida utilizado como preservante para madera;13%
3466200990200;Fungicida para uso agrícola, n.c.p.;13%
3466200999900;Fungicida, n.c.p.;13%
3466300000100;Herbicida, inhibidor de germinación y regulador de crecimiento de las plantas, de uso agrícola;13%
3466300000200;Herbicida, inhibidor de germinación y regulador de crecimiento de las plantas, para uso doméstico e industrial;13%
3466300009900;Herbicida, inhibidor de germinación y regulador de crecimiento de las plantas, n.c.p.;13%
3466401010000;Desinfectante a base de aceite de pino y de agentes tensoactivos de amonio cuaternario, para uso agrícola;13%
3466401020100;Desinfectante a base de aceite de pino y de agentes tensoactivos de amonio cuaternario, para ubres (incluye toallas de desinfección);13%
3466401029900;Desinfectante a base de aceite de pino y de agentes tensoactivos de amonio cuaternario, para uso veterinario, n.c.p.;13%
3466401030100;Desinfectante a base de aceite de pino y de agentes tensoactivos de amonio cuaternario, para equipo y material biomédico;Exento
3466401039900;Desinfectante a base de aceite de pino y de agentes tensoactivos de amonio cuaternario, para uso médico, quirúrgico y odontológico, n.c.p.;13%
3466401990100;Desinfectante bactericida, a base de aceite de pino y de agentes tensoactivos de amonio cuaternario, n.c.p.;13%
3466401999900;Desinfectante a base de aceite de pino y de agentes tensoactivos de amonio cuaternario, n.c.p.;13%
3466499010000;Desinfectante, para uso agrícola, n.c.p.;13%
3466499020100;Desinfectante, para ubres (incluye toallas de desinfección), n.c.p.;13%
3466499029900;Desinfectante, para uso veterinario, n.c.p.;13%
3466499030100;Desinfectante para equipo y material biomédico, n.c.p.;Exento
3466499039900;Desinfectante, para uso médico, quirúrgico y odontológico, n.c.p.;Exento
3466499990100;Desinfectante bactericida, n.c.p.;13%
3466499999900;Desinfectante, n.c.p.;13%
3466601000100;DDT (ISO) (clofenotano (DCI)), acondicionado en envases con un contenido en peso neto inferior o igual a 300 g, para uso agrícola;13%
3466601009900;DDT (ISO) (clofenotano (DCI)), acondicionado en envases con un contenido en peso neto inferior o igual a 300 g, n.c.p.;13%
3466602010100;Espiral para mosquitos como insecticida peligroso;13%
3466602019900;"Insecticida peligroso en pastilla o vela que actúa por combustión; y papeles matamoscas, n.c.p.";13%
3466602020000;Insecticida peligroso que contienen DDT, aldrin, dieldrin, toxafeno, clordimeform, clordano o heptacloro;13%
3466602030000;Insecticida peligroso que contienen binapacril, 1,2-dibromoetano, dicloruro de etileno o paratión;13%
3466602040000;Insecticida peligroso que contienen lindano, compuestos de mercurio, fluoroacetamida, pentaclorofenol, monocrotofós o fosfaidón;13%
3466602050000;Insecticida peligroso a base de metamidofos o metil paratión;13%
3466602060000;Insecticida peligroso que contienen ciclohexano, 1,2,3,4,5,6 hexacloro (HCH);13%
3466602990100;Repelente contra mosquitos de uso ambiental con contenido de insecticida peligroso;13%
3466602990200;Bolsas plásticas para la protección y empaque del banano, con insecticida peligroso;13%
3466602990300;Insecticida peligroso, para uso agrícola;13%
3466602990400;Insecticida peligroso usado como preservante para madera;13%
3466602990500;Collar para animales con insecticida peligroso;13%
3466602999900;Insecticida peligroso, n.c.p.;13%
3466603000100;Fungicida peligroso a base de arseniato de cobre cromado con contenido superior o igual a 125 kg;13%
3466603000200;Fungicida peligroso que contiene hexaclorobenceno, pentaclorofenol, binapacril, óxidos de mercurio;13%
3466603000300;Fungicida peligroso que contiene captafol;13%
3466603000400;Fungicida peligroso, para uso agrícola;13%
3466603000500;Fungicida peligroso usado como preservante para madera;13%
3466603009900;Fungicida peligroso, n.c.p.;13%
3466604010000;Herbicida peligroso, inhibidor de germinación y regulador de crecimiento de plantas, que contiene dinoseb (ISO);13%
3466604020100;Herbicida peligroso, que contengan 2,4,5-T (ISO) (ácido 2,4,5 -triclorofenoxiacético), para uso agrícola;13%
3466604029900;Herbicida peligroso, que contengan 2,4,5-T (ISO) (ácido 2,4,5 -triclorofenoxiacético), n.c.p.;13%
3466604030000;Herbicida peligroso, inhibidor de germinación y regulador de crecimiento de plantas, que contiene etilendibromuro;13%
3466604990100;Herbicida peligroso, inhibidor de germinación y regulador de crecimiento de plantas, para uso agrícola;13%
3466604999900;Herbicida peligroso, inhibidor de germinación y regulador de crecimiento de plantas, n.c.p.;13%
3466605010100;Desinfectante peligroso a base de aceite de pino y de agentes tensoactivos de amonio cuaternario, para uso veterinario;13%
3466605019900;Desinfectante peligroso a base de aceite de pino y de agentes tensoactivos de amonio cuaternario, n.c.p.;13%
3466605020100;Raticida y demás antirroedores, peligrosos, para uso doméstico;13%
3466605020200;Raticida y demás antirroedores, peligrosos, para uso agrícola;13%
3466605029900;Raticida y demás antirroedores, peligrosos, n.c.p.;13%
3466605030000;Desinfectante peligroso que contiene clorobencilato, fosfamidón;13%
3466605040000;Desinfectante peligroso en formulaciones de polvo seco con una mezcla que contiene principalmente: benomilo (CAS 17804-35-2), carbofurano (CAS 1563-66-2) y thiram (CAS 137-26-8);13%
3466605050000;Nematicida peligroso a base de 1,3 dibromo-3-cloropropano (DBCP), utilizado como desinfectante;13%
3466605990100;Desinfectante peligroso, para uso agrícola;13%
3466605999900;Desinfectante peligroso, n.c.p.;13%
3466699000000;Pesticidas peligrosos, n.c.p.;13%
3466901010000;Raticida y demás antirroedores no peligrosos, de uso doméstico e industrial;13%
3466901020000;Raticida y demás antirroedores no peligrosos, de uso agrícola;13%
3466901990000;Raticida y demás antirroedores no peligrosos, n.c.p.;13%
3466902010100;Pesticida no peligroso que contiene metilbromuro y cloropicrina en una proporción superior o igual al 30% en peso, para uso agrícola;13%
3466902019900;Pesticida no peligroso que contiene metilbromuro y cloropicrina en una proporción superior o igual al 30% en peso, n.c.p.;13%
3466902990100;Pesticida no peligroso que contiene metilbromuro, para uso agrícola;13%
3466902999900;Pesticida no peligroso que contiene metilbromuro, n.c.p.;13%
3466903000000;Pesticida no peligroso que contiene cloropicrina en una proporción superior o igual al 30% en peso;13%
3466999010000;Nematicidas no peligrosos, a base de 1,3 dibromo-3-cloropropano (DBCP);13%
3466999020000;Pesticida no peligroso, para uso agrícola;13%
3466999990100;Acaricidas;13%
3466999990200;Ovicidas;13%
3466999999900;Pesticida no peligroso n.c.p.;13%
3471001000100;Polietileno de densidad inferior a 0,94;13%
3471001000200;Polietileno de densidad superior o igual a 0,94;13%
3471002000100;Copolímeros de etileno y acetato de vinilo;13%
3471002000200;Copolímeros de etileno y alfa-olefina de densidad inferior a 0,94 ;13%
3471099000000;Polietileno en formas primarias, n.c.p.;13%
3472001000100;Poliestireno expandible;13%
3472001009900;Poliestireno, n.c.p.;13%
3472002000100;Copolímeros de estireno-acrilonitrilo (SAN);13%
3472002009900;Copolímeros de acrilonitrilo-butadieno-estireno (ABS);13%
3472099000000;Polímeros de estireno, en formas primarias, n.c.p.;13%
3473001010000;Polímero de cloruro de vinilo, sin mezclar con otras sustancias;13%
3473001020100;Gránulos, escamas (copos), grumos o polvo, a base de policloruro de vinilo, sin plastificar (PVC);13%
3473001029900;Polímero de cloruro de vinilo, sin plastificar, n.c.p.;13%
3473001030100;Gránulos, escamas (copos), grumos o polvo, a base de policloruro de vinilo, plastificado (PVC);13%
3473001039900;Polímero de cloruro de vinilo, plastificado, n.c.p.;13%
3473002000100;Copolímeros de cloruro de vinilo y acetato de vinilo;13%
3473002009900;Copolímeros de cloruro de vinilo, n.c.p.;13%
3473003000000;Polímeros de cloruro de vinilideno;13%
3473004000100;Politetrafluoroetileno;13%
3473004009900;Polímeros fluorados, n.c.p.;13%
3473099000000;Polímeros de otras olefinas halogenadas, en formas primarias, n.c.p.;13%
3474001000000;Poliacetales;13%
3474002000000;Resinas epoxi;13%
3474003000000;Policarbonatos;13%
3474004000100;Resinas alcídicas, con aceites secantes o con aceite de coquito (palma);13%
3474004000200;Resinas alcídicas, sin pigmentar ni colorear, presentados en líquido o pasta, incluidas las dispersiones (emulsiones y suspensiones) y las disoluciones;13%
3474004009900;Resinas alcídicas, n.c.p.;13%
3474005000100;Resinas sintéticas, para uso agropecuario;13%
3474005009900;Resinas sintéticas, n.c.p.;13%
3474006000100;Poli(tereftalato de etileno) (PET), con un índice de viscosidad superior o igual a 78 ml/g;13%
3474006009900;Poli(tereftalato de etileno) (PET), n.c.p.;13%
3474007000000;Poli(ácido láctico);13%
3474099010100;Poliéster no saturado, del tipo isoftálico;13%
3474099010200;Maleica;13%
3474099019900;Poliéster no saturado, n.c.p.;13%
3474099990100;Poliéster, en solución de estireno;13%
3474099990200;Poliéster, con compuesto 141b (1,1-dicloro-1-fluoretano) como agente espumante para aislamiento térmico;13%
3474099999900;Poliéster, n.c.p.;13%
3479001000100;Polipropileno;13%
3479001000200;Poliisobutileno;13%
3479001000300;Copolímeros de propileno;13%
3479001009900;Polímeros de propileno o de otras olefinas, en formas primarias, n.c.p.;13%
3479002010100;Poli(acetato de vinilo), en dispersión acuosa;13%
3479002019900;Poli(acetato de vinilo), n.c.p.;13%
3479002020100;Copolímeros de acetato de vinilo, en dispersión acuosa;13%
3479002029900;Copolímeros de acetato de vinilo, n.c.p.;13%
3479002030000;Poli(alcohol vinílico), incluso con grupos acetato sin hidrolizar;13%
3479002990100;Copolímeros;13%
3479002999900;"Polímeros vinílicos o de ésteres vinílicos, en formas  primarias; n.c.p.";13%
3479003000100;Poli(metacrilato de metilo);13%
3479003009900;Polímeros acrílicos en formas primarias, n.c.p.;13%
3479004000100;Poliamida -6, -11, -12, -6.6, -6.9, -6.10 o -6.12;13%
3479004009900;Poliamidas en formas primarias, n.c.p.;13%
3479005010100;"Resinas ureicas; resinas de tiourea";13%
3479005010200;Resinas melamínicas;13%
3479005010300;Poli(metilenfenilisocianato) (MDI en bruto, MDI polimérico);13%
3479005019900;Resinas amínicas, n.c.p.;13%
3479005020000;Resinas fenólicas, en formas primarias;13%
3479005030100;Poliuretanos, en solvente orgánico;13%
3479005030200;Poliuretanos, que contengan el compuesto 14 lb (1, 1-dicloro-1-fluoroetano) como agente espumante para aislamiento término ;13%
3479005039900;Poliuretanos, n.c.p.;13%
3479006000000;Siliconas, en formas primarias;13%
3479007010000;Resinas de petróleo, resinas de  cumarona, resinas de indeno, resinas de cumarona-indeno y politerpenos;13%
3479007020000;Polisulfuros, polisulfonas y similares, en formas primarias;13%
3479008010100;Acetatos de celulosa, sin plastificar;13%
3479008010200;Acetatos de celulosa, plastificado;13%
3479008020000;Nitratos de celulosa (incluidos los colodiones);13%
3479008030100;Carboximetilcelulosa y sus sales;13%
3479008039900;Éteres de celulosa, n.c.p.;13%
3479008990000;Celulosa y derivados químicos, en formas primarias, n.c.p.;13%
3479009000100;Ácido algínico, sus sales y sus ésteres;13%
3479009009900;Polímeros naturales y polímeros naturales modificados, en formas primarias (p.e: ácido algínico, proteínas endurecidas, derivados químicos del caucho natural), n.c.p.;13%
3479010000000;Intercambiadores de iones a base de polímeros, en formas primarias;13%
3480001010000;Látex de caucho estireno-butadieno y caucho estireno-butadieno carboxilado;13%
3480001990100;Caucho estireno-butadieno (SBR) y caucho estireno-butadieno carboxilado (XSBR), en formas primarias;13%
3480001999900;Caucho estireno-butadieno (SBR) y caucho estireno-butadieno carboxilado (XSBR), n.c.p.;13%
3480002000100;Caucho butadieno (BR), en formas primarias;13%
3480002009900;Caucho butadieno (BR), n.c.p.;13%
3480003010100;Caucho isobuteno-isopreno (butilo) (IIR), en formas primarias;13%
3480003019900;Caucho isobuteno-isopreno (butilo) (IIR), n.c.p.;13%
3480003020100;Caucho isobuteno-isopreno halogenado (CIIR o BIIR), en formas primarias;13%
3480003029900;Caucho isobuteno-isopreno halogenado (CIIR o BIIR), n.c.p.;13%
3480004010000;Látex de caucho cloropreno ;13%
3480004990100;Caucho cloropreno (clorobutadieno) (CR), en formas primarias;13%
3480004999900;Caucho cloropreno (clorobutadieno) (CR), n.c.p.;13%
3480005010000;Látex de caucho acrilonitrilo-butadieno ;13%
3480005990100;Caucho acrilonitrilo-butadieno (NBR), en formas primarias;13%
3480005999900;Caucho acrilonitrilo-butadieno (NBR), n.c.p.;13%
3480006000100;Caucho isopreno (IR), en formas primarias;13%
3480006009900;Caucho isopreno (IR), n.c.p.;13%
3480007000100;Caucho etileno-propileno-dieno no  conjugado (EPDM), en formas primarias;13%
3480007009900;Caucho etileno-propileno-dieno no  conjugado (EPDM), n.c.p.;13%
3480008000100;Mezcla de productos de caucho natural, balata, gutapercha,  guayule, chicle y gomas naturales análogas, en formas primarias;13%
3480008009900;Mezcla de productos de caucho natural, balata, gutapercha,  guayule, chicle y gomas naturales análogas, n.c.p.;13%
3480099010000;Látex de caucho sintético, n.c.p.;13%
3480099990100;Caucho sintético y derivados artificiales de aceites, en formas primarias, n.c.p.;13%
3480099999900;Caucho sintético y derivados artificiales de aceites, n.c.p.;13%
3511001000100;Barniz sintético;13%
3511001000200;Barniz acrílico;13%
3511001000300;Barniz poliuretano;13%
3511001000400;Barniz nitrocelulósico;13%
3511001000500;Barniz sanitario;13%
3511001000600;Barniz marino;13%
3511001000700;Lacas en aerosol u otras presentaciones ;13%
3511001009900;Barniz, n.c.p.;13%
3511002000100;Diluyente sintético;13%
3511002000200;Diluyentes orgánicos;13%
3511002000300;"Diluyentes que contienen mezclas de benceno con otros solventes ""thinner""";13%
3511002000400;Aguarrás;13%
3511002000500;Varsol;13%
3511002000600;Diluyentes para semen;13%
3511002009900;Diluyentes n.c.p.;13%
3511003000100;Pinturas base acuosa (agua);13%
3511003000200;Pinturas base aceitosa (aceite);13%
3511003000300;Pinturas en envase de aerosol;13%
3511003000400;Pinturas anticorrosivas, para uso marino;13%
3511003000500;Pinturas anticorrosivas, excepto para uso marino;13%
3511003000600;Pinturas sanitarias;13%
3511003000700;Pinturas para piscina;13%
3511003000800;Pinturas de cobre, como insumo para la pesca marina;13%
3511003000900;Pinturas para señalización y demarcación de carreteras;13%
3511003001000;Pinturas automotrices;13%
3511003001100;Pinturas para uso artístico (óleos y acuarelas);13%
3511003001200;Pinturas para vidrios;13%
3511003001300;Pinturas epóxicas;13%
3511003001400;Pinturas de protección industrial (vinílicas, poliestéricas, entre otras);13%
3511003001500;Pinturas bituminosas;13%
3511003001600;Pinturas en polvo;13%
3511003009900;Pinturas n.c.p.;13%
3511004000100;Pastas, masillas, morteros y bases de las utilizadas para sellar, alisar o rellenar, paredes, muros, techos, pisos, entre otros;13%
3511004000200;Pastas, masillas, morteros y bases de las utilizadas para texturizar;13%
3511004000300;Pastas, masillas y similares para uso artístico;13%
3511004000400;Pastas, masillas y similares, a base de aceite de linaza;13%
3511004000500;Pastas, masillas y similares, a base de plásticos derivados del petróleo;13%
3511005000100;Pigmentos al agua;13%
3511005000200;Pigmentos, líquidos o en pasta, para la fabricación de pinturas;13%
3511005000300;Pigmentos, opacificantes y colores preparados;13%
3511005000400;Pigmentos para resina;13%
3511099000100;Abrillantadores (lustres) líquidos;13%
3511099000200;Frita de vidrio y demás vidrios, en polvo, gránulos, copos o escamillas;13%
3511099000300;Secantes para pinturas o barniz;13%
3511099000400;Hojas y cintas para marcado al fuego;13%
3511099000500;Polvos metálicos, aluminio, cobre, zinc, entre otros;13%
3511099000600;Tintes y otros colorantes;13%
3511099000700;Aditivos para pinturas;13%
3511099000800;Impermeabilizantes para madera;13%
3511099009900;Productos relacionados con pinturas, n.c.p.;13%
3512001000100;Pinturas de colores, témperas, incluso en cajas con sus accesorios;1%
3512001009900;"Pinturas de colores para arte, enseñanza, rótulos, entre otros; en paquetes surtidos";13%
3512002000000;"Pinturas de colores para arte, enseñanza, rótulos, entre otros; individuales";13%
3513001000100;Tinta de impresión, negra, para rotativas de offset;13%
3513001000200;Tinta de impresión, negra, para corrección de negativos en las artes gráficas;13%
3513001000300;Tinta de impresión, negra, para serigrafía;13%
3513001009900;Tintas de impresión, negras, n.c.p.;13%
3513099000100;Tintas de impresión, para rotativas de offset, n.c.p.;13%
3513099000200;Tintas de impresión, para corrección de negativos en las artes gráficas, n.c.p.;13%
3513099000300;Tintas de impresión, para serigrafía, n.c.p.;13%
3513099009900;Tintas de impresión, n.c.p.;13%
3514000000100;Tintas para marcar, de uso agropecuario;13%
3514000009900;Tintas para escribir o dibujar y otras tintas;13%
3531001010000;Sales hidrosolubles de ácidos alquilarilsulfónicos ;13%
3531001020000;Sulfanato de sodio;13%
3531001990000;Agentes orgánicos tensoactivos, aniónicos, n.c.p.;13%
3531002000000;Agentes orgánicos tensoactivos, catiónicos;13%
3531003000100;Agentes orgánicos tensoactivos, no ínicos, para uso agrícola;13%
3531003009900;Agentes orgánicos tensoactivos, no ínicos, n.c.p.;13%
3531099000100;Agentes orgánicos tensoactivos, para uso agrícola, n.c.p.;13%
3531099009900;Agentes orgánicos tensoactivos, n.c.p.;13%
3532101010101;Jabón medicinal de tocador, en barras, panes, trozos o piezas;13%
3532101010199;Jabón de tocador n.c.p., en barras, panes, trozos o piezas;13%
3532101010200;Jabón para lavar, en barras, moldeado o troquelado;13%
3532101019900;Jabón n.c.p., en barras, panes, trozos o piezas;13%
3532101020100;Jabón líquido, medicinal;13%
3532101020200;Jabón líquido, para uso agrícola;13%
3532101029900;Jabón líquido, n.c.p.;13%
3532101990000;Jabón de otras formas, n.c.p.;13%
3532102010000;Productos y preparaciones orgánicos tensoactivos, en barras, panes, trozos o piezas, utilizados como jabón de tocador;13%
3532102020000;Productos y preparaciones orgánicos tensoactivos para el lavado de la piel, líquidos o en crema, aunque contengan jabón;13%
3532103000000;Papel, guata, fieltro y productos textiles sin tejer, impregnados, recubiertos o cubiertos con jabón o detergente;13%
3532201010000;Blanqueador líquido;13%
3532201020000;Suavizantes de ropa;13%
3532201030100;Desengrasante, de uso industrial;13%
3532201030200;Desengrasante, de uso doméstico;13%
3532201040000;Detergentes y preparaciones para enjuague;13%
3532201050000;Detergentes líquidos;13%
3532201060000;Detergentes en polvo;13%
3532201990100;Productos de lavado para ropa de color;13%
3532201990200;Limpiador para vidrios;13%
3532201990300;Limpiador antibacterial para uso doméstico;13%
3532201990400;Limpiador multiuso;13%
3532201990500;Limpiador de piedras naturales;13%
3532201990600;Carbolina;1%
3532201990700;Detergentes y preparaciones, para lavar, de uso agropecuario, n.c.p.;13%
3532201990800;Detergentes y preparaciones, para lavar, de uso médico, n.c.p.;Exento
3532201999900;Detergentes y preparaciones, para lavar, n.c.p.;13%
3532202010000;Preparaciones tensoactivas a base de sales hidrosolubles de ácidos alquilarilsulfónicos o de ésteres fosfóricos;13%
3532202990100;Preparaciones tensoactivas, de uso agropecuario (incluye los detergentes para equipo de lechería);13%
3532202999900;Preparaciones tensoactivas, n.c.p.;13%
3532301000100;Lápiz labial;13%
3532301000200;Sombras para ojos;13%
3532301000300;Esmaltes, lacas y similares para manicura o pedicura;13%
3532301000400;Polvos para maquillaje, incluidos los compactos;13%
3532301000500;Base líquida para maquillar;13%
3532301009900;Productos para maquillaje, n.c.p.;13%
3532302000100;Protector solar para el rostro;13%
3532302000200;Protector solar corporal;13%
3532302000300;Bronceador corporal;13%
3532302000400;Cremas corporales;13%
3532302000500;Cremas para el rostro (nutritivas, hidratantes, rejuvenecedoras y otras);13%
3532302000600;Talcos de tocador;13%
3532302009900;Productos para el cuidado de la piel, n.c.p.;13%
3532303000100;Champú para el cabello;13%
3532303000200;Champú contra piojos;1%
3532303000300;Acondicionador para el cabello;13%
3532303000400;Tratamiento o mascarillas nutritivas para el cabello;13%
3532303000500;Protector de calor para el cabello;13%
3532303000600;Cremas para peinar;13%
3532303000700;Lacas para el cabello;13%
3532303000800;Gel fijador para el cabello;13%
3532303000900;Productos para ondulación o desrizado permanentes para el cabello;13%
3532303001000;Tintes para el cabello;13%
3532303009900;Productos para el cuidado y tratamiento capilar, n.c.p.;13%
3532304000100;Pasta de dientes;1%
3532304000200;Pasta para profilaxis;Exento
3532304000300;Desensibilizante dental;Exento
3532304000400;Enjuague bucal;13%
3532304000500;Polvos y cremas para la adherencia de las dentaduras;13%
3532304000600;Hilo utilizado para limpieza de los espacios interdentales (hilo dental);1%
3532304000700;Blanqueador dental;Exento
3532304009900;Preparaciones para higiene bucal o dental, n.c.p.;13%
3532305000100;Cremas depilatorias;13%
3532305000200;Espuma y gel para afeitar;13%
3532305000300;Cremas y lociones para antes o después de afeitar;13%
3532306010100;Desodorante antitranspirante en barra;13%
3532306010200;Desodorante antitranspirante en aerosol;13%
3532306010300;Desodorante antitranspirante en gel;13%
3532306010400;"Desodorante antitranspirante en ""roll-on""";13%
3532306020100;Desodorante en barra;13%
3532306020200;Desodorante en aerosol;13%
3532306020300;Desodorante en gel;13%
3532306020400;"Desodorante en ""roll-on""";13%
3532306020500;Desodorantes corporales;13%
3532306030100;Perfumes;13%
3532306030200;Aguas de tocador;13%
3532307000100;Jabón para animales ;13%
3532307000200;Champú para animales;13%
3532307000300;Acondicionador para animales;13%
3532307000400;Talco para animales ;13%
3532307000500;Perfume para animales ;13%
3532307000600;Productos de higiene dental para animales ;13%
3532307009900;Productos de higiene para animales, n.c.p.;13%
3532399000100;Sales perfumadas y demás preparaciones para el baño;13%
3532399000200;Disoluciones para lentes de contacto o para ojos artificiales, incluidas las lágrimas artificiales;Exento
3532399000300;Alcohol en gel antibacterial para manos;13%
3532399000400;Repelente contra mosquitos de uso corporal;13%
3532399009900;Preparaciones de perfumería, tocador o cosmética, n.c.p.;13%
3532901000000;Transitorio para surtidos de productos de limpieza (código válido hasta 30/06/2022);13%
3532902000000;Transitorio para surtidos de productos de cuidado personal (código válido hasta 30/06/2022);13%
3533101000000;Inciensos (agarbatti) y demás preparaciones odoríferas que actúan por combustión;13%
3533102000000;Desodorantes ambientales para automóviles que no contengan clorofluorocarbonos, en presentaciones de cartón o papel impregnados con aroma;13%
3533199000000;Preparaciones para perfumar y desodorizar ambientes, n.c.p.;13%
